Date,Hour,optimized_Power Transport Vehicles,optimized_Set Point,optimized_Number of Active Chillers,optimized_Standby Power Down,optimized_Active Printers,optimized_Active Coffee Machines,optimized_Number of Servers,optimized_Number of Network Switches (PoE),optimized_Number of Network Switches (Non-PoE),optimized_Number of HDDs,optimized_Number of SSDs,optimized_Compressor Energy,optimized_Technological Centers Energy,optimized_Chiller Energy,optimized_Data Center Energy,optimized_Production Energy,optimized_UTA Energy,optimized_Office Energy,optimized_Total Cost
2023-06-01,21,9.4343073516101,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.7552327622166475,13.387375077719394,2.77158173566442,0.4225622146,0.0,1.74354661348358,0.740425736940135,215.29529444376598
2023-06-01,22,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.95746852071304,13.387561760553194,1.56052033771192,0.4225622146,39.0759676749709,6.48944708095004,2.19470075288286,215.29529444376598
2023-06-01,23,13.9431606177726,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.582234519855213,13.313596632360042,0.522481407329249,0.4225622146,0.0,1.18702098092391,0.740425736940135,215.29529444376598
2023-06-02,0,-0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,45.39024851857179,29.693221473218596,0.34912419698421,0.4225622146,21.0428454836565,11.9708602481365,1.23462998195139,215.29529444376598
2023-06-02,1,-0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,44.25532644494259,32.57815443171358,0.719144604222983,0.4225622146,40.1195140848882,6.16098668792659,1.82883592343954,215.29529444376598
2023-06-02,2,-0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.459339477808973,25.913353734077567,0.714859968157889,0.4225622146,43.5486977087252,2.96287898660214,0.740425736940135,215.29529444376598
2023-06-02,3,-0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.446875780771265,22.298480551461527,0.172399089817695,0.4225622146,28.2112197102767,2.53682489884062,3.89148574041592,215.29529444376598
2023-06-02,4,-0.0,24.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.18759614758307,19.311462268592187,0.58161819190472,0.4225622146,18.6058196347102,1.51755120473466,2.32304016845079,215.29529444376598
2023-06-02,5,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.635680354136898,17.58858890853663,0.525226366148338,0.4225622146,64.0029237650119,4.14636310857898,2.19470075288286,215.29529444376598
2023-06-02,6,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.652095622991494,18.522983210367983,1.55791308105252,0.4225622146,50.2332277127869,16.1908825308244,2.32304016845079,215.29529444376598
2023-06-02,7,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16.236808032648103,19.199607615713845,2.76043563065861,0.4225622146,52.9001704371171,11.1124534726994,2.80307555391652,215.29529444376598
2023-06-02,8,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.103089139581716,17.49449157606309,4.06934359199227,0.4225622146,54.2138550575347,9.09363731074889,2.19470075288286,215.29529444376598
2023-06-02,9,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.160697869239566,18.37514953529898,5.37555926746839,0.4225622146,73.3132934801584,14.6970274509849,2.19470075288286,215.29529444376598
2023-06-02,10,0.891126669852322,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.9811849019345,20.883995016134214,6.58621053381495,0.4225622146,0.0,19.8761335691576,2.93141496948445,215.29529444376598
2023-06-02,11,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,33.0811272802162,21.28178966961605,7.60756046844777,0.4225622146,82.4171129088317,25.3934949219778,3.15477152381433,215.29529444376598
2023-06-02,12,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,32.396209651392816,21.878547810432696,8.315941888711,0.4225622146,88.2955058836682,31.9040386175847,2.45137958401871,215.29529444376598
2023-06-02,13,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,29.97626408325552,24.19315161363588,8.81866457299875,0.4225622146,72.4649364355695,22.5201537412728,3.16894038335985,215.29529444376598
2023-06-02,14,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.39539708864299,22.24211867772268,9.00818795073737,0.4225622146,65.6387822944716,29.6437439943702,3.41145035495019,215.29529444376598
2023-06-02,15,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,32.32640320719012,21.57909130123345,8.81863813581059,0.4225622146,30.5225000958874,13.3178415002745,1.82883592343954,215.29529444376598
2023-06-02,16,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,32.41586696174252,23.65096085269432,8.25016656712715,0.4225622146,40.2246143722536,4.20157682031298,2.19470075288286,215.29529444376598
2023-06-02,17,20.251535621844,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.610765862272352,24.168763469549056,7.55812572729067,0.4225622146,-1.77635683940025e-15,0.453742335061537,0.260390351474399,215.29529444376598
2023-06-02,18,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.702760792017305,17.81656951830884,6.58600220143546,0.4225622146,11.7862756145119,1.59348846175098,1.84300478298505,215.29529444376598
2023-06-02,19,22.0653953576148,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.890944339764265,13.928482181167391,5.3749447810862,0.4225622146,0.0,0.453948088164594,0.260390351474399,215.29529444376598
2023-06-02,20,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.7056804098501104,14.100673358050493,4.0732615586793,0.4225622146,31.8275120641857,6.28145692707133,2.32304016845079,215.29529444376598
2023-06-02,21,9.4343073516101,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.7552327622166475,13.387375077719394,2.77158173566442,0.4225622146,0.0,1.74354661348358,0.740425736940135,215.29529444376598
2023-06-02,22,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.95746852071304,13.387561760553194,1.56052033771192,0.4225622146,39.0759676749709,6.48944708095004,2.19470075288286,215.29529444376598
2023-06-02,23,13.9431606177726,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.582234519855213,13.313596632360042,0.522481407329249,0.4225622146,0.0,1.18702098092391,0.740425736940135,215.29529444376598
2023-06-03,0,-0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,45.39024851857179,29.693221473218596,0.34912419698421,0.4225622146,21.0428454836565,11.9708602481365,1.23462998195139,215.29529444376598
2023-06-03,1,-0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,44.25532644494259,32.57815443171358,0.719144604222983,0.4225622146,40.1195140848882,6.16098668792659,1.82883592343954,215.29529444376598
2023-06-03,2,-0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.459339477808973,25.913353734077567,0.714859968157889,0.4225622146,43.5486977087252,2.96287898660214,0.740425736940135,215.29529444376598
2023-06-03,3,-0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.446875780771265,22.298480551461527,0.172399089817695,0.4225622146,28.2112197102767,2.53682489884062,3.89148574041592,215.29529444376598
2023-06-03,4,-0.0,24.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.18759614758307,19.311462268592187,0.58161819190472,0.4225622146,18.6058196347102,1.51755120473466,2.32304016845079,215.29529444376598
2023-06-03,5,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.635680354136898,17.58858890853663,0.525226366148338,0.4225622146,64.0029237650119,4.14636310857898,2.19470075288286,215.29529444376598
2023-06-03,6,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.652095622991494,18.522983210367983,1.55791308105252,0.4225622146,50.2332277127869,16.1908825308244,2.32304016845079,215.29529444376598
2023-06-03,7,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16.236808032648103,19.199607615713845,2.76043563065861,0.4225622146,52.9001704371171,11.1124534726994,2.80307555391652,215.29529444376598
2023-06-03,8,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.103089139581716,17.49449157606309,4.06934359199227,0.4225622146,54.2138550575347,9.09363731074889,2.19470075288286,215.29529444376598
2023-06-03,9,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.160697869239566,18.37514953529898,5.37555926746839,0.4225622146,73.3132934801584,14.6970274509849,2.19470075288286,215.29529444376598
2023-06-03,10,0.891126669852322,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.9811849019345,20.883995016134214,6.58621053381495,0.4225622146,0.0,19.8761335691576,2.93141496948445,215.29529444376598
2023-06-03,11,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,33.0811272802162,21.28178966961605,7.60756046844777,0.4225622146,82.4171129088317,25.3934949219778,3.15477152381433,215.29529444376598
2023-06-03,12,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,32.396209651392816,21.878547810432696,8.315941888711,0.4225622146,88.2955058836682,31.9040386175847,2.45137958401871,215.29529444376598
2023-06-03,13,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,29.97626408325552,24.19315161363588,8.81866457299875,0.4225622146,72.4649364355695,22.5201537412728,3.16894038335985,215.29529444376598
2023-06-03,14,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.39539708864299,22.24211867772268,9.00818795073737,0.4225622146,65.6387822944716,29.6437439943702,3.41145035495019,215.29529444376598
2023-06-03,15,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,32.32640320719012,21.57909130123345,8.81863813581059,0.4225622146,30.5225000958874,13.3178415002745,1.82883592343954,215.29529444376598
2023-06-03,16,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,32.41586696174252,23.65096085269432,8.25016656712715,0.4225622146,40.2246143722536,4.20157682031298,2.19470075288286,215.29529444376598
2023-06-03,17,20.251535621844,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.610765862272352,24.168763469549056,7.55812572729067,0.4225622146,-1.77635683940025e-15,0.453742335061537,0.260390351474399,215.29529444376598
2023-06-03,18,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.702760792017305,17.81656951830884,6.58600220143546,0.4225622146,11.7862756145119,1.59348846175098,1.84300478298505,215.29529444376598
2023-06-03,19,22.0653953576148,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.890944339764265,13.928482181167391,5.3749447810862,0.4225622146,0.0,0.453948088164594,0.260390351474399,215.29529444376598
2023-06-03,20,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.7056804098501104,14.100673358050493,4.0732615586793,0.4225622146,31.8275120641857,6.28145692707133,2.32304016845079,215.29529444376598
2023-06-03,21,9.4343073516101,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.7552327622166475,13.387375077719394,2.77158173566442,0.4225622146,0.0,1.74354661348358,0.740425736940135,215.29529444376598
2023-06-03,22,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.95746852071304,13.387561760553194,1.56052033771192,0.4225622146,39.0759676749709,6.48944708095004,2.19470075288286,215.29529444376598
2023-06-03,23,13.9431606177726,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.582234519855213,13.313596632360042,0.522481407329249,0.4225622146,0.0,1.18702098092391,0.740425736940135,215.29529444376598
2023-06-04,0,-0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,45.39024851857179,29.693221473218596,0.34912419698421,0.4225622146,21.0428454836565,11.9708602481365,1.23462998195139,215.29529444376598
2023-06-04,1,-0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,44.25532644494259,32.57815443171358,0.719144604222983,0.4225622146,40.1195140848882,6.16098668792659,1.82883592343954,215.29529444376598
2023-06-04,2,-0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.459339477808973,25.913353734077567,0.714859968157889,0.4225622146,43.5486977087252,2.96287898660214,0.740425736940135,215.29529444376598
2023-06-04,3,-0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.446875780771265,22.298480551461527,0.172399089817695,0.4225622146,28.2112197102767,2.53682489884062,3.89148574041592,215.29529444376598
2023-06-04,4,-0.0,24.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.18759614758307,19.311462268592187,0.58161819190472,0.4225622146,18.6058196347102,1.51755120473466,2.32304016845079,215.29529444376598
2023-06-04,5,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.635680354136898,17.58858890853663,0.525226366148338,0.4225622146,64.0029237650119,4.14636310857898,2.19470075288286,215.29529444376598
2023-06-04,6,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.652095622991494,18.522983210367983,1.55791308105252,0.4225622146,50.2332277127869,16.1908825308244,2.32304016845079,215.29529444376598
2023-06-04,7,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16.236808032648103,19.199607615713845,2.76043563065861,0.4225622146,52.9001704371171,11.1124534726994,2.80307555391652,215.29529444376598
2023-06-04,8,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.103089139581716,17.49449157606309,4.06934359199227,0.4225622146,54.2138550575347,9.09363731074889,2.19470075288286,215.29529444376598
2023-06-04,9,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.160697869239566,18.37514953529898,5.37555926746839,0.4225622146,73.3132934801584,14.6970274509849,2.19470075288286,215.29529444376598
2023-06-04,10,0.891126669852322,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.9811849019345,20.883995016134214,6.58621053381495,0.4225622146,0.0,19.8761335691576,2.93141496948445,215.29529444376598
2023-06-04,11,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,33.0811272802162,21.28178966961605,7.60756046844777,0.4225622146,82.4171129088317,25.3934949219778,3.15477152381433,215.29529444376598
2023-06-04,12,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,32.396209651392816,21.878547810432696,8.315941888711,0.4225622146,88.2955058836682,31.9040386175847,2.45137958401871,215.29529444376598
2023-06-04,13,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,29.97626408325552,24.19315161363588,8.81866457299875,0.4225622146,72.4649364355695,22.5201537412728,3.16894038335985,215.29529444376598
2023-06-04,14,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.39539708864299,22.24211867772268,9.00818795073737,0.4225622146,65.6387822944716,29.6437439943702,3.41145035495019,215.29529444376598
2023-06-04,15,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,32.32640320719012,21.57909130123345,8.81863813581059,0.4225622146,30.5225000958874,13.3178415002745,1.82883592343954,215.29529444376598
2023-06-04,16,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,32.41586696174252,23.65096085269432,8.25016656712715,0.4225622146,40.2246143722536,4.20157682031298,2.19470075288286,215.29529444376598
2023-06-04,17,20.251535621844,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.610765862272352,24.168763469549056,7.55812572729067,0.4225622146,-1.77635683940025e-15,0.453742335061537,0.260390351474399,215.29529444376598
2023-06-04,18,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.702760792017305,17.81656951830884,6.58600220143546,0.4225622146,11.7862756145119,1.59348846175098,1.84300478298505,215.29529444376598
2023-06-04,19,22.0653953576148,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,4.890944339764265,13.928482181167391,5.3749447810862,0.4225622146,0.0,0.453948088164594,0.260390351474399,215.29529444376598
2023-06-04,20,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.7056804098501104,14.100673358050493,4.0732615586793,0.4225622146,31.8275120641857,6.28145692707133,2.32304016845079,215.29529444376598
2023-06-04,21,9.4343073516101,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.7552327622166475,13.387375077719394,2.77158173566442,0.4225622146,0.0,1.74354661348358,0.740425736940135,215.29529444376598
2023-06-04,22,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.95746852071304,13.387561760553194,1.56052033771192,0.4225622146,39.0759676749709,6.48944708095004,2.19470075288286,215.29529444376598
2023-06-04,23,13.9431606177726,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.582234519855213,13.313596632360042,0.522481407329249,0.4225622146,0.0,1.18702098092391,0.740425736940135,215.29529444376598
2023-06-05,0,-0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,45.39024851857179,29.693221473218596,0.34912419698421,0.4225622146,21.0428454836565,11.9708602481365,1.23462998195139,215.29529444376598
2023-06-05,1,-0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,44.25532644494259,32.57815443171358,0.719144604222983,0.4225622146,40.1195140848882,6.16098668792659,1.82883592343954,215.29529444376598
2023-06-05,2,-0.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.459339477808973,25.913353734077567,0.714859968157889,0.4225622146,43.5486977087252,2.96287898660214,0.740425736940135,215.29529444376598
2023-06-05,3,-0.0,24.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.446875780771265,22.298480551461527,0.172399089817695,0.4225622146,28.2112197102767,2.53682489884062,3.89148574041592,215.29529444376598
2023-06-05,4,-0.0,24.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.18759614758307,19.311462268592187,0.58161819190472,0.4225622146,18.6058196347102,1.51755120473466,2.32304016845079,215.29529444376598
2023-06-05,5,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,15.635680354136898,17.58858890853663,0.525226366148338,0.4225622146,64.0029237650119,4.14636310857898,2.19470075288286,215.29529444376598
2023-06-05,6,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.652095622991494,18.522983210367983,1.55791308105252,0.4225622146,50.2332277127869,16.1908825308244,2.32304016845079,215.29529444376598
2023-06-05,7,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,16.236808032648103,19.199607615713845,2.76043563065861,0.4225622146,52.9001704371171,11.1124534726994,2.80307555391652,215.29529444376598
2023-06-05,8,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.103089139581716,17.49449157606309,4.06934359199227,0.4225622146,54.2138550575347,9.09363731074889,2.19470075288286,215.29529444376598
2023-06-05,9,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,13.160697869239566,18.37514953529898,5.37555926746839,0.4225622146,73.3132934801584,14.6970274509849,2.19470075288286,215.29529444376598
2023-06-05,10,0.891126669852322,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.9811849019345,20.883995016134214,6.58621053381495,0.4225622146,0.0,19.8761335691576,2.93141496948445,215.29529444376598
2023-06-05,11,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,33.0811272802162,21.28178966961605,7.60756046844777,0.4225622146,82.4171129088317,25.3934949219778,3.15477152381433,215.29529444376598
2023-06-05,12,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,32.396209651392816,21.878547810432696,8.315941888711,0.4225622146,88.2955058836682,31.9040386175847,2.45137958401871,215.29529444376598
2023-06-05,13,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,29.97626408325552,24.19315161363588,8.81866457299875,0.4225622146,72.4649364355695,22.5201537412728,3.16894038335985,215.29529444376598
2023-06-05,14,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.39539708864299,22.24211867772268,9.00818795073737,0.4225622146,65.6387822944716,29.6437439943702,3.41145035495019,215.29529444376598
2023-06-05,15,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,32.32640320719012,21.57909130123345,8.81863813581059,0.4225622146,30.5225000958874,13.3178415002745,1.82883592343954,215.29529444376598
2023-06-05,16,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,32.41586696174252,23.65096085269432,8.25016656712715,0.4225622146,40.2246143722536,4.20157682031298,2.19470075288286,215.29529444376598
2023-06-05,17,20.251535621844,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,30.610765862272352,24.168763469549056,7.55812572729067,0.4225622146,-1.77635683940025e-15,0.453742335061537,0.260390351474399,215.29529444376598
2023-06-05,18,-0.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.702760792017305,17.81656951830884,6.58600220143546,0.4225622146,11.7862756145119,1.59348846175098,1.84300478298505,215.29529444376598
